stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2267,,"ул. Харлова",,55.14644,61.44521,,,
2458,,"ул. Ш. Руставели",,55.13940,61.44112,,,
2459,,"ул. Ш. Руставели",,55.13876,61.44078,,,
2268,,"ул. Шота Руставели",,55.13881,61.44056,,,
2284,,"ул. Шота Руставели",,55.13936,61.44129,,,
2270,,"Управление соц. защиты",,55.12853,61.43439,,,
2278,,"Управление соц. защиты",,55.12879,61.43490,,,
3478,,"ул. Барбюса",,55.12574,61.42554,,,
2474,,"Аврора",,55.13132,61.43726,,,
3281,,"Аврора",,55.13178,61.43552,,,
2491,,"Завод Электромашин",,55.12100,61.47082,,,
2492,,"Завод Электромашин",,55.12098,61.47104,,,
2477,,"пос. Первый плановый",,55.12850,61.44383,,,
2478,,"пос. Первый плановый",,55.12826,61.44430,,,
3233,,"ул. Барбюса",,55.13361,61.42615,,,
3234,,"ул. Барбюса",,55.13333,61.42647,,,
2487,,"ул. Л. Чайкиной",,55.12287,61.46168,,,
2488,,"ул. Л. Чайкиной",,55.12274,61.46250,,,
2481,,"ул. Первоконная",,55.12524,61.44970,,,
2482,,"ул. Первоконная",,55.12515,61.45029,,,
2485,,"ул. Эстонская",,55.12426,61.45465,,,
2486,,"ул. Эстонская",,55.12417,61.45526,,,
4210,,"Сад Трубопрокатчик-1",,55.10695,61.49479,,,
4211,,"Сад Трубопрокатчик-1",,55.10709,61.49475,,,
4208,,"ул. Днепровская",,55.10392,61.49001,,,
4217,,"Профилакторий",,55.14286,61.45357,,,
4218,,"Профилакторий",,55.14298,61.45314,,,
4422,,"сад Металлист",,55.14215,61.51993,,,
4226,,"Сад Энергостроитель",,55.13921,61.50688,,,
4227,,"Сад Энергостроитель",,55.13925,61.50642,,,
4220,,"Южная проходная",,55.14362,61.46303,,,
4221,,"Южная проходная",,55.14376,61.46306,,,
4204,,"пос. Сухомесово",,55.07425,61.48176,,,
4205,,"пос. Сухомесово",,55.07438,61.48163,,,
4081,,"Сад Берёзка",,55.06700,61.49765,,,
4078,,"Сад Металлист-1",,55.07275,61.48799,,,
4079,,"Сад Металлист-1",,55.07311,61.48782,,,
4080,,"Сад Станкостроитель-2",,55.06668,61.49782,,,
2174,,"Кладбище",,55.12195,61.52434,,,
2175,,"Кладбище",,55.12180,61.52473,,,
2185,,"пос. Фатеевка",,55.12955,61.51988,,,
2177,,"ул. Костромская",,55.12558,61.52063,,,
2180,,"ул. Костромская",,55.12537,61.52046,,,
3159,,"ЗЭМ",,55.12238,61.47421,,,
3162,,"ЗЭМ",,55.12040,61.47198,,,
2147,,"Механический завод",,55.12752,61.47943,,,
2149,,"Механический завод",,55.12765,61.47906,,,
3163,,"ул. Энергетиков",,55.12460,61.47465,,,
2493,,"ЧТПЗ, пл. Якова Осадчего",,55.11699,61.47052,,,
2495,,"ЧТПЗ, пл. Якова Осадчего",,55.11665,61.47037,,,
3157,,"ЧТПЗ, пл. Якова Осадчего",,55.11653,61.46958,,,
3158,,"ЧТПЗ, пл. Якова Осадчего",,55.11729,61.47096,,,
3156,,"Школа",,55.11188,61.46768,,,
2497,,"Школа",,55.11216,61.46747,,,
3492,,"Гаражи",,55.11888,61.41984,,,
3493,,"Гаражи",,55.11880,61.41975,,,
3149,,"ДК ЧТПЗ",,55.11349,61.45853,,,
3150,,"ДК ЧТПЗ",,55.11315,61.45915,,,
2499,,"Завод Металлоконструкций",,55.10945,61.47667,,,
2500,,"Завод Металлоконструкций",,55.10926,61.47758,,,
3247,,"Завод Металлоконструкций",,55.10991,61.47425,,,
3268,,"Завод Металлоконструкций",,55.11003,61.47412,,,
3253,,"Магазин",,55.10323,61.48938,,,
3255,,"Магазин",,55.10400,61.48891,,,
3142,,"Озеро Смолино",,55.11583,61.44616,,,
3144,,"Озеро Смолино",,55.11609,61.44557,,,
1882,,"Солнечный берег",,55.11561,61.42422,,,
3257,,"Стадион",,55.09809,61.49346,,,
3263,,"Стадион",,55.09900,61.49294,,,
2501,,"Трубный институт",,55.10841,61.48100,,,
2502,,"Трубный институт",,55.10828,61.48168,,,
3249,,"Трубный институт",,55.10792,61.48267,,,
3250,,"Трубный институт",,55.10814,61.48205,,,
2504,,"ул. Днепровская",,55.10384,61.48909,,,
2506,,"ул. Днепровская",,55.10365,61.48930,,,
1886,,"ул. Новороссийская",,55.11663,61.43359,,,
3494,,"ул. Новороссийская",,55.11613,61.43356,,,
2508,,"ул. Чистопольская",,55.09994,61.49234,,,
2511,,"ул. Чистопольская",,55.10012,61.49215,,,
4183,,"ул. Чистопольская",,55.09660,61.49435,,,
1887,,"Школа",,55.11651,61.42481,,,
3151,,"Школа",,55.11195,61.46621,,,
3244,,"Школа",,55.11136,61.46814,,,
2498,,"Школа",,55.11157,61.46782,,,
2106,,"Институт экономики и права",,55.13900,61.45413,,,
2109,,"Институт экономики и права",,55.13898,61.45395,,,
3554,,"Опытный завод",,55.14755,61.44063,,,
4184,,"Стадион",,55.09836,61.49256,,,
2136,,"ДК ТЭЦ",,55.13080,61.46461,,,
2137,,"ДК ТЭЦ",,55.13079,61.46429,,,
3277,,"Дом ребенка",,55.13385,61.45964,,,
2119,,"Плодовоягодная",,55.13660,61.45816,,,
2120,,"Плодовоягодная",,55.13535,61.45697,,,
2140,,"Техникум",,55.12753,61.47088,,,
2142,,"Техникум",,55.12688,61.47185,,,
6711,,"Мясокомбинат",,55.12048,61.53226,,,
8065,,"Опытный завод",,55.14883,61.44328,,,
8066,,"Опытный завод",,55.14886,61.44321,,,
6708,,"Рыбокомбинат",,55.11990,61.54030,,,
8059,,"ул.Шота Руставели",,55.14153,61.43373,,,
8060,,"ул.Шота Руставели",,55.14044,61.43286,,,
1069,,"Аврора",,55.13219,61.43702,,,
1070,,"Аврора",,55.13098,61.43585,,,
6761,,"Станкомаш",,55.14142,61.47052,,,
8309,,"Станкомаш",,55.14101,61.47204,,,
6485,,"ул. Еловая",,55.07681,61.48170,,,
6486,,"ул. Еловая",,55.07730,61.48196,,,
2014,,"Аэропорт",,55.29774,61.51177,,,
2626,,"Доломитная",,55.25075,61.45118,,,
